,id,Symbol,Name,LastSale,MarketValue,IPOyear,Sector,Industry,Summary Quote
58,59,AKAO,"Achaogen, Inc.",23.65,$826.01M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao
59,60,ACHN,"Achillion Pharmaceuticals, Inc.",3.86,$527.59M,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn
60,61,ACIW,"ACI Worldwide, Inc.",20.29,$2.38B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw
61,62,ACRS,"Aclaris Therapeutics, Inc.",30.8,$802.34M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs
62,63,ACU,Acme United Corporation.,25.41,$84.49M,1988,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/acu
63,64,ACNB,ACNB Corporation,29.4,$178.29M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb
64,65,ACOR,"Acorda Therapeutics, Inc.",24.9,$1.15B,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor
65,66,ATV,"Acorn International, Inc.",8.97,$34.32M,2007,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/atv
66,67,AIII,"ACRE Realty Investors, Inc.",1.1,$22.51M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/aiii
67,68,ATNM,"Actinium Pharmaceuticals, Inc.",1.44,$80.28M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/atnm
68,69,ATVI,"Activision Blizzard, Inc",45.55,$33.85B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi
69,70,ACTA,Actua Corporation,14,$488.45M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta
70,71,ATU,Actuant Corporation,26.65,$1.58B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/atu
71,72,AYI,Acuity Brands Inc,218.13,$9.62B,n/a,Consumer Durables,Building Products,http://www.nasdaq.com/symbol/ayi
72,73,GOLF,Acushnet Holdings Corp.,17.52,$1.3B,2016,Consumer Non-Durables,Recreational Products/Toys,http://www.nasdaq.com/symbol/golf
73,74,ACXM,Acxiom Corporation,29.37,$2.29B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm
